time, Presion
51.25, 2.5123545309094
51.5, 2.55220020892211
51.75, 2.55366979640166
52, 2.55363580794573
52.25, 2.55049383121591
52.5, 2.55145299763424
52.75, 2.59425705095338
53, 2.60073064877712
53.25, 2.59934641529188
53.5, 2.60598879087765
53.75, 2.64269892389343
54, 2.63991288279782
54.25, 2.64129235288093
54.5, 2.64094961469292
54.75, 2.67731469652972
55, 2.69020070446765
55.25, 2.69046926191947
55.5, 2.69140942414376
55.75, 2.68952047889259
56, 2.70314873320604
56.25, 2.73934009220137
56.5, 2.73778187458715
56.75, 2.7750370518464
57, 2.78584306338912
57.25, 2.78555571713709
57.5, 2.81541167691586
57.75, 2.83923190783519
58, 2.83826844063194
58.25, 2.85384666988401
58.5, 2.88217998716728
58.75, 2.877072905028
59, 2.91187957681002
59.25, 2.92772544236678
59.5, 2.93397661083426
59.75, 2.98254294157484
60, 2.9802909946551
60.25, 2.98039016355377
60.5, 3.00912862098074
60.75, 3.03087425748427
61, 3.03263965297611
61.25, 3.04540115892314
61.5, 3.08382408054924
61.75, 3.08438849954228
62, 3.1108570709295
62.25, 3.13848207931699
62.5, 3.13929674647674
62.75, 3.14468094861524
63, 3.18368899222798
63.25, 3.19931025714723
63.5, 3.20477606090899
