T, PyD, PyDD, PyDT
21.4, 7.31311, 7.24777, 7.39605
21.5, 7.317833, 7.245182, 7.396695
21.6, 7.320216, 7.252417, 7.394991
21.7, 7.320041, 7.253382, 7.398479
21.8, 7.317313, 7.251543, 7.402721
21.9, 7.321301, 7.252172, 7.40432
22, 7.323499, 7.251857, 7.401712
22.1, 7.323054, 7.254386, 7.400688
22.2, 7.326567, 7.257094, 7.400758
22.3, 7.324314, 7.257629, 7.400817
22.4, 7.324698, 7.256105, 7.402112
22.5, 7.324454, 7.256795, 7.400733
22.6, 7.331664, 7.259118, 7.403876
22.7, 7.328551, 7.259918, 7.408418
22.8, 7.32982, 7.261212, 7.407124
22.9, 7.328501, 7.258528, 7.406394
23, 7.33017, 7.261357, 7.404775
23.1, 7.333388, 7.260777, 7.407119
23.2, 7.334153, 7.263485, 7.407698
23.3, 7.334712, 7.266993, 7.406019
23.4, 7.335692, 7.266609, 7.411501
23.5, 7.335282, 7.268243, 7.411936
23.6, 7.334637, 7.269527, 7.412121
23.7, 7.334183, 7.265569, 7.410791
23.8, 7.33842, 7.266838, 7.412266
23.9, 7.338605, 7.270066, 7.411806
24, 7.339295, 7.270971, 7.412525
24.1, 7.339515, 7.273265, 7.412146
24.2, 7.340124, 7.273884, 7.411391
24.3, 7.339879, 7.274489, 7.41383
24.4, 7.344651, 7.275743, 7.409857
24.5, 7.344581, 7.278371, 7.417522
24.6, 7.345066, 7.278057, 7.415649
24.7, 7.345206, 7.276952, 7.416153
24.8, 7.345336, 7.278242, 7.416818
24.9, 7.345116, 7.28117, 7.417028
25, 7.349758, 7.28139, 7.418897
25.1, 7.350538, 7.283728, 7.416238
25.2, 7.353066, 7.283603, 7.415464
25.3, 7.348714, 7.284903, 7.416448
25.4, 7.350058, 7.282724, 7.421865
25.5, 7.351527, 7.283478, 7.419401
25.6, 7.350328, 7.284558, 7.422674
25.7, 7.352707, 7.283059, 7.423149
25.8, 7.354565, 7.283673, 7.421625
25.9, 7.354371, 7.286986, 7.422624
26, 7.35551, 7.28857, 7.422834
26.1, 7.357798, 7.288111, 7.42207
26.2, 7.356104, 7.2885, 7.42127
26.3, 7.356809, 7.28848, 7.427531
26.4, 7.357324, 7.289999, 7.427047
26.5, 7.360372, 7.285037, 7.427326
26.6, 7.361126, 7.288835, 7.42927
26.7, 7.360847, 7.291758, 7.425942
26.8, 7.361101, 7.293287, 7.429165
26.9, 7.361481, 7.294472, 7.429935
27, 7.36432, 7.290969, 7.426577
27.1, 7.367378, 7.294222, 7.428251
27.2, 7.367038, 7.292773, 7.428636
27.3, 7.365204, 7.291179, 7.431589
27.4, 7.364639, 7.291798, 7.434232
27.5, 7.368242, 7.293088, 7.432448
27.6, 7.365734, 7.29662, 7.433738
27.7, 7.365509, 7.295686, 7.432668
27.8, 7.372595, 7.2966, 7.434262
27.9, 7.372625, 7.298165, 7.433588
28, 7.371545, 7.29673, 7.432753
28.1, 7.37122, 7.297945, 7.432578
28.2, 7.370286, 7.298869, 7.437785
28.3, 7.37218, 7.298729, 7.434722
28.4, 7.375573, 7.295756, 7.439334
28.5, 7.377192, 7.296555, 7.433897
28.6, 7.377856, 7.299389, 7.437295
28.7, 7.375703, 7.300228, 7.43733
28.8, 7.375128, 7.300528, 7.436566
28.9, 7.376547, 7.299559, 7.439119
29, 7.375918, 7.305785, 7.438275
29.1, 7.380949, 7.304646, 7.442852
29.2, 7.379495, 7.303087, 7.445076
29.3, 7.380295, 7.303536, 7.443717
29.4, 7.38081, 7.303586, 7.444416
29.5, 7.380465, 7.302722, 7.446
29.6, 7.382009, 7.300223, 7.445675
29.7, 7.381039, 7.307659, 7.443667
29.8, 7.383778, 7.307199, 7.442522
29.9, 7.386241, 7.309013, 7.444826
30, 7.384507, 7.30614, 7.442617
30.1, 7.385787, 7.308413, 7.445171
30.2, 7.384897, 7.308223, 7.449433
30.3, 7.386306, 7.304781, 7.448089
30.4, 7.388885, 7.310272, 7.449893
30.5, 7.391478, 7.309353, 7.448339
30.6, 7.391923, 7.31364, 7.448319
30.7, 7.390434, 7.313235, 7.450393
30.8, 7.392807, 7.309877, 7.447949
30.9, 7.392917, 7.311601, 7.447799
31, 7.393262, 7.311986, 7.448329
31.1, 7.397764, 7.312881, 7.453805
31.2, 7.395201, 7.314809, 7.454955
31.3, 7.394981, 7.314075, 7.45472
31.4, 7.395376, 7.31399, 7.454945
31.5, 7.397469, 7.313265, 7.456169
31.6, 7.398139, 7.313115, 7.455275
31.7, 7.401132, 7.313445, 7.453131
31.8, 7.402636, 7.318182, 7.453965
31.9, 7.400558, 7.317988, 7.454135
32, 7.402771, 7.318697, 7.455859
32.1, 7.405325, 7.318612, 7.458573
32.2, 7.402841, 7.315834, 7.459542
32.3, 7.403951, 7.321116, 7.458673
32.4, 7.402441, 7.320486, 7.457883
32.5, 7.403161, 7.318952, 7.457688
32.6, 7.40463, 7.320641, 7.459682
32.7, 7.407658, 7.32174, 7.456939
32.8, 7.40491, 7.322385, 7.457323
32.9, 7.409322, 7.323964, 7.460661
33, 7.407234, 7.323064, 7.460287
33.1, 7.405784, 7.322989, 7.462145
33.2, 7.408653, 7.323859, 7.465244
33.3, 7.410936, 7.326123, 7.464489
33.4, 7.413095, 7.324254, 7.464754
33.5, 7.412855, 7.325503, 7.464129
33.600001, 7.412715, 7.326687, 7.463475
33.700001, 7.412081, 7.329131, 7.467082
33.800001, 7.413195, 7.328581, 7.464824
33.900001, 7.414264, 7.329106, 7.463155
34.000001, 7.419431, 7.326273, 7.463929
34.100001, 7.417967, 7.330675, 7.46336
34.200001, 7.418702, 7.328336, 7.466743
34.300001, 7.418762, 7.329156, 7.469596
34.400001, 7.419206, 7.329765, 7.466513
34.500001, 7.417482, 7.330095, 7.466358
34.600001, 7.418907, 7.332094, 7.469016
34.700001, 7.418952, 7.334323, 7.468941
34.800001, 7.419981, 7.336441, 7.468621
34.900001, 7.425742, 7.337376, 7.467792
35.000001, 7.424988, 7.335172, 7.470236
35.100001, 7.423004, 7.336856, 7.47033
35.200001, 7.422679, 7.332674, 7.474503
35.300001, 7.422125, 7.336162, 7.474178
35.400001, 7.423524, 7.337861, 7.473079
35.500001, 7.42905, 7.33929, 7.477326
35.600001, 7.42894, 7.340819, 7.473863
35.700001, 7.427506, 7.33902, 7.472359
35.800001, 7.42967, 7.33948, 7.473658
35.900001, 7.430065, 7.33942, 7.475382
36.000001, 7.427896, 7.340014, 7.473638
36.100001, 7.42991, 7.339085, 7.477186
36.200001, 7.435946, 7.339569, 7.478401
36.300001, 7.433783, 7.342378, 7.480264
36.400001, 7.434722, 7.343862, 7.480429
36.500001, 7.435202, 7.344092, 7.479685
36.600001, 7.433528, 7.346435, 7.47863
36.700001, 7.431934, 7.344467, 7.480564
36.800001, 7.432159, 7.342398, 7.480899
36.900001, 7.433902, 7.344192, 7.479515
37.000001, 7.433992, 7.345476, 7.480614
37.100001, 7.432184, 7.34623, 7.47944
37.200001, 7.439479, 7.345136, 7.479535
37.300001, 7.43718, 7.350193, 7.482948
37.400001, 7.439659, 7.351113, 7.484577
37.500001, 7.438884, 7.346985, 7.484707
37.600001, 7.438854, 7.350418, 7.486845
37.700001, 7.439584, 7.349309, 7.484877
37.800001, 7.4376, 7.348774, 7.485137
37.900001, 7.445411, 7.349778, 7.481844
38.000001, 7.44574, 7.352377, 7.484552
38.100001, 7.443737, 7.349843, 7.485171
38.200001, 7.44637, 7.348994, 7.485042
38.300001, 7.444166, 7.350493, 7.487465
38.400001, 7.443447, 7.350478, 7.489359
38.500001, 7.444461, 7.357818, 7.490433
38.600001, 7.445216, 7.357429, 7.492992
38.700001, 7.444206, 7.356045, 7.488639
38.800001, 7.448564, 7.352382, 7.489184
38.900001, 7.451587, 7.355255, 7.491842
39.000001, 7.452047, 7.35579, 7.491253
39.100001, 7.449958, 7.35468, 7.490888
39.200001, 7.451277, 7.35464, 7.490828
39.300001, 7.449858, 7.354915, 7.494406
39.400001, 7.451662, 7.360677, 7.496095
39.500001, 7.452626, 7.359537, 7.493307
39.600001, 7.456654, 7.362391, 7.496565
39.700001, 7.452506, 7.359902, 7.492307
39.800001, 7.455489, 7.361871, 7.496265
39.900001, 7.456409, 7.359213, 7.49559
40.000001, 7.456469, 7.361326, 7.495705
40.100001, 7.454895, 7.361032, 7.496545
40.200001, 7.45501, 7.358808, 7.494301
